question_id,gold,majority_answer,majority_correct,oracle_correct,min_id,min_correct,min_steps,product_id,product_correct,product_steps
gsm8k-test-1005,1490,1.7E+2,0,1,gsm8k-test-1005-c0,0,15,gsm8k-test-1005-c0,0,15
gsm8k-test-1014,3,24,0,1,gsm8k-test-1014-c0,0,17,gsm8k-test-1014-c0,0,17
gsm8k-test-1017,45,,0,0,gsm8k-test-1017-c1,0,11,gsm8k-test-1017-c4,0,8
gsm8k-test-1018,60,7E+1,0,1,gsm8k-test-1018-c0,0,12,gsm8k-test-1018-c4,0,5
gsm8k-test-1033,2,15.5,0,0,gsm8k-test-1033-c0,0,7,gsm8k-test-1033-c0,0,7
gsm8k-test-1039,160,128,0,0,gsm8k-test-1039-c1,0,11,gsm8k-test-1039-c2,0,14
gsm8k-test-1043,130000,1.3E+5,1,1,gsm8k-test-1043-c2,0,7,gsm8k-test-1043-c2,0,7
gsm8k-test-1054,2400,4.8E+5,0,1,gsm8k-test-1054-c2,0,7,gsm8k-test-1054-c3,1,8
gsm8k-test-1061,58,58,1,1,gsm8k-test-1061-c0,1,10,gsm8k-test-1061-c0,1,10
gsm8k-test-1067,245,245,1,1,gsm8k-test-1067-c4,0,13,gsm8k-test-1067-c4,0,13
gsm8k-test-1073,21,45,0,0,gsm8k-test-1073-c1,0,9,gsm8k-test-1073-c1,0,9
gsm8k-test-1077,145,127.15,0,0,gsm8k-test-1077-c1,0,19,gsm8k-test-1077-c1,0,19
gsm8k-test-1078,8,8,1,1,gsm8k-test-1078-c4,1,5,gsm8k-test-1078-c4,1,5
gsm8k-test-1080,72000,1.44E+3,0,0,gsm8k-test-1080-c4,0,13,gsm8k-test-1080-c4,0,13
gsm8k-test-1083,2,18,0,0,gsm8k-test-1083-c0,0,16,gsm8k-test-1083-c4,0,9
gsm8k-test-1084,20,8E+1,0,0,gsm8k-test-1084-c1,0,15,gsm8k-test-1084-c3,0,14
gsm8k-test-1086,131250,1.325E+5,0,0,gsm8k-test-1086-c2,0,14,gsm8k-test-1086-c2,0,14
gsm8k-test-1092,1080,5.4E+2,0,0,gsm8k-test-1092-c2,0,9,gsm8k-test-1092-c4,0,13
gsm8k-test-1094,25,9.78,0,0,gsm8k-test-1094-c1,0,12,gsm8k-test-1094-c1,0,12
gsm8k-test-1098,30,3E+1,1,1,gsm8k-test-1098-c2,0,9,gsm8k-test-1098-c4,1,5
gsm8k-test-110,45,45,1,1,gsm8k-test-110-c4,0,11,gsm8k-test-110-c4,0,11
gsm8k-test-1107,360,6E+2,0,1,gsm8k-test-1107-c3,0,8,gsm8k-test-1107-c3,0,8
gsm8k-test-1119,18,18,1,1,gsm8k-test-1119-c3,0,8,gsm8k-test-1119-c3,0,8
gsm8k-test-1122,18,9,0,0,gsm8k-test-1122-c3,0,18,gsm8k-test-1122-c1,0,11
gsm8k-test-1125,90,3,0,0,gsm8k-test-1125-c0,0,6,gsm8k-test-1125-c2,0,8
gsm8k-test-113,25,25,1,1,gsm8k-test-113-c1,1,6,gsm8k-test-113-c1,1,6
gsm8k-test-1131,96,1.2E+2,0,0,gsm8k-test-1131-c3,0,13,gsm8k-test-1131-c0,0,5
gsm8k-test-1150,21,21,1,1,gsm8k-test-1150-c1,1,8,gsm8k-test-1150-c2,1,7
gsm8k-test-1155,13,13,1,1,gsm8k-test-1155-c3,0,9,gsm8k-test-1155-c3,0,9
gsm8k-test-1157,3,4,0,1,gsm8k-test-1157-c0,0,8,gsm8k-test-1157-c0,0,8
gsm8k-test-116,42,42,1,1,gsm8k-test-116-c1,0,8,gsm8k-test-116-c1,0,8
gsm8k-test-1164,9,9,1,1,gsm8k-test-1164-c1,0,13,gsm8k-test-1164-c1,0,13
gsm8k-test-1168,20,2E+1,1,1,gsm8k-test-1168-c4,1,20,gsm8k-test-1168-c4,1,20
